input,subject,subject_type,data/object,relation,object,object_type
第5章知识图谱融合汪鹏东南大学5.1什么是知识图谱融合知识图谱包含描述抽象知识的本体层和描述具体事实的实例层。,知识图谱,知识图谱,,包含,本体层,知识图谱
第5章知识图谱融合汪鹏东南大学5.1什么是知识图谱融合知识图谱包含描述抽象知识的本体层和描述具体事实的实例层。,知识图谱,知识图谱,,包含,实例层,知识图谱
本体层用于描述特定领域中的抽象概念、属性、公理；实例层用于描述具体的实体对象、实体间的关系，包含大量的事实和数据。,本体层,知识图谱,属性,被定义为,描述特定领域中的抽象概念、属性、公理,文本
本体层用于描述特定领域中的抽象概念、属性、公理；实例层用于描述具体的实体对象、实体间的关系，包含大量的事实和数据。,实例层,知识图谱,属性,被定义为,描述具体的实体对象、实体间的关系，包含大量的事实和数据,文本
这些本体描述的内容在语义上往往重叠或关联，但使用的本体在表示语言和表示模型上却具有差异，这便造成了本体异构。,本体异构,知识融合,属性,被定义为,本体描述的内容在语义上往往重叠或关联，但使用的本体在表示语言和表示模型上却具有差异,文本
知识融合建立异构本体或异构实例之间的联系，从而使异构的知识图谱能相互沟通，实现它们之间的互操作。,知识融合,知识融合,属性,被定义为,建立异构本体或异构实例之间的联系，从而使异构的知识图谱能相互沟通，实现它们之间的互操作,文本
下面分别阐述这两种层次上的异构。5.2.1语言层不匹配在知识工程发展的过程中出现了多种知识表示语言。,知识图谱中的异构,知识融合,,包含,语言层不匹配,知识融合
不同的时期都存在着几种流行的语言，如早期有Ontolingua和Loom等本体语言，近年则有DAML+OIL、RDF(S)、OWL和OWL2等。,知识表示语言,知识融合,,包含,Ontolingua,知识融合
不同的时期都存在着几种流行的语言，如早期有Ontolingua和Loom等本体语言，近年则有DAML+OIL、RDF(S)、OWL和OWL2等。,知识表示语言,知识融合,,包含,Loom,知识融合
不同的时期都存在着几种流行的语言，如早期有Ontolingua和Loom等本体语言，近年则有DAML+OIL、RDF(S)、OWL和OWL2等。,知识表示语言,知识融合,,包含,DAML+OIL,知识融合
不同的时期都存在着几种流行的语言，如早期有Ontolingua和Loom等本体语言，近年则有DAML+OIL、RDF(S)、OWL和OWL2等。,知识表示语言,知识融合,,包含,RDF(S),知识融合
不同的时期都存在着几种流行的语言，如早期有Ontolingua和Loom等本体语言，近年则有DAML+OIL、RDF(S)、OWL和OWL2等。,知识表示语言,知识融合,,包含,OWL,知识融合
不同的时期都存在着几种流行的语言，如早期有Ontolingua和Loom等本体语言，近年则有DAML+OIL、RDF(S)、OWL和OWL2等。,知识表示语言,知识融合,,包含,OWL2,知识融合
这类语言层次上不匹配的情形分为语法不匹配、逻辑表示不匹配、原语的语义不匹配和语言表达能力不匹配四类。,语言层不匹配,知识融合,,包含,语法不匹配,知识融合
这类语言层次上不匹配的情形分为语法不匹配、逻辑表示不匹配、原语的语义不匹配和语言表达能力不匹配四类。,语言层不匹配,知识融合,,包含,逻辑表示不匹配,知识融合
这类语言层次上不匹配的情形分为语法不匹配、逻辑表示不匹配、原语的语义不匹配和语言表达能力不匹配四类。,语言层不匹配,知识融合,,包含,原语的语义不匹配,知识融合
这类语言层次上不匹配的情形分为语法不匹配、逻辑表示不匹配、原语的语义不匹配和语言表达能力不匹配四类。,语言层不匹配,知识融合,,包含,语言表达能力不匹配,知识融合
1.语法不匹配不同的知识描述语言常采用不同的语法。,语法不匹配,知识融合,属性,被定义为,不同的语法,文本
