input,subject,subject_type,data/object,relation,object,object_type
,节点,知识图谱,属性,内容,对象或概念,文本
,连接,知识图谱,属性,内容,节点之间的关系,文本
,XML,知识表示,属性,被定义为,包含结构化信息的文档的标记语言,文本
,XML,知识表示,属性,特点,数据交换而设计的,文本
,XML,知识表示,属性,语法,XML 声明文件的可选部分，如果存在需要放在文档的第一行；XML 必须包含根元素，它是所有其他元素的父元素；XML文档由元素构成，每个元素包括开始标签、结束标签和元素内容；XML 标签对大小写敏感,文本
,XML,知识表示,,包含,XML命名空间,知识表示
,XML命名空间,知识表示,属性,作用,避免元素命名冲突,文本
,XML命名空间,知识表示,属性,方法,添加前缀或者使用xmlns属性为每个前缀定义命名空间,文本
,XML Schema,知识表示,,属于,XML,知识表示
,XML Schema,知识表示,属性,作用,指定如何正式描述XML文档中的元素；在应用程序之间交换XML文档时，有必要就信息的结构达成协议，包括标签和属性的名称，以及是否需要某些子元素,文本
,RDF,知识表示,,包含,RDF三元组,知识表示
,RDF三元组,知识表示,,包含,RDF中的主语,知识表示
,RDF三元组,知识表示,,包含,RDF中的谓语,知识表示
,RDF三元组,知识表示,,包含,RDF中的宾语,知识表示
,空白节点,知识表示,属性,内容,未命名的资源或复杂节点,文本
,RDF,知识表示,属性,语法,列为S P O三元组，IRI在<角括号>中，三元组以.结束,文本
,RDFS,知识表示,属性,作用,为RDF数据提供数据建模词汇表；试图为RDF数据提供一致的解释；允许指定模式知识；是RDF基本词汇的扩展；,文本
,本体,知识表示,属性,被定义为,一个共享概念化的一种形式化的显式规约,文本
,OWL,知识表示,,包含,本体,知识表示
,XML命名空间,知识表示,,包含,xmlns,知识表示
,xmlns,知识表示,,属于,URI,知识表示
,URI,知识表示,属性,英文名,Uniform Resource Identifier,文本
,URI,知识表示,属性,语法,"scheme:[//authority]path[?query][#fragment]，scheme: type of URI, e.g. http, ftp, mailto, file, urn；authority: optional; typically a domain name；authority: optional; typically a domain name；query: optional; provides non-hierarchical information. Usually for parameters, e.g. for a web service；fragment: optional; often used to address part of a retrieved resource, e.g. section of a HTML file; the set of characters is limited to US-ASCII",文本
,URI,知识表示,属性,特点,only uses English characters,文本
,URI,知识表示,,包含,URL,知识表示
,URL,知识表示,属性,英文名,Uniform Resource Locator,文本
,URI,知识表示,,包含,URN,知识表示
,URL,知识表示,属性,英文名,Uniform Resource Name,文本
,URI,知识表示,,属于,IRI,知识表示
,IRI,知识表示,属性,英文名,International Resource Identifier,文本
,RDF,知识表示,属性,特点,可用于机器可读数据交换,文本
,RDF,知识表示,属性,被定义为,关于网站、页面等的结构元数据,文本
,OWL,知识表示,,包含,OWL词汇,知识表示
,OWL词汇,知识表示,,包含,owl:equivalentClass,知识表示
,owl:equivalentClass,知识表示,属性,被定义为,类之间的等价,文本
,OWL词汇,知识表示,,包含,owl:equivalentProperty,知识表示
,owl:equivalentProperty,知识表示,属性,被定义为,属性之间的等价,文本
,OWL词汇,知识表示,,包含,owl:sameAs,知识表示
,owl:sameAs,知识表示,属性,被定义为,实体之间的等价,文本
,OWL词汇,知识表示,,包含,owl:disjointWith,知识表示
,owl:disjointWith,知识表示,属性,被定义为,类之间的不相交,文本
,OWL词汇,知识表示,,包含,owl:intersectionOf,知识表示
,owl:intersectionOf,知识表示,属性,被定义为,类之间的交集,文本
,OWL词汇,知识表示,,包含,owl:unionOf,知识表示
,owl:unionOf,知识表示,属性,被定义为,并集,文本
,OWL词汇,知识表示,,包含,owl:complementOf,知识表示
,owl:complementOf,知识表示,属性,被定义为,补类,文本
,OWL词汇,知识表示,,包含,owl:ObjectProperty,知识表示
,owl:ObjectProperty,知识表示,属性,被定义为,"对象属性,属性值是其他资源",文本
,OWL词汇,知识表示,,包含,owl:DataProperty,知识表示
,owl:DataProperty,知识表示,属性,被定义为,"数据属性,属性值是基本数据类型文字",文本
,OWL词汇,知识表示,,包含,owl:TransitiveProperty,知识表示
,owl:TransitiveProperty,知识表示,属性,被定义为,具有传递性的属性,文本
,OWL词汇,知识表示,,包含,owl:FunctionalProperty,知识表示
,owl:FunctionalProperty,知识表示,属性,被定义为,"对于任何一个资源,这个属性只能有一个值",文本
,OWL词汇,知识表示,,包含,owl:InverseFunctionalProperty,知识表示
,owl:InverseFunctionalProperty,知识表示,属性,被定义为,一个属性值只能对应着一个资源,文本
,OWL词汇,知识表示,,包含,owl:SymmetricProperty,知识表示
,owl:SymmetricProperty,知识表示,属性,被定义为,等价,文本
,OWL词汇,知识表示,,包含,owl:inverseOf,知识表示
,owl:inverseOf,知识表示,属性,被定义为,逆关系,文本
,OWL词汇,知识表示,,包含,owl:allValuesFrom,知识表示
,owl:allValuesFrom,知识表示,属性,被定义为,任意,文本
,OWL词汇,知识表示,,包含,owl:someValuesFrom,知识表示
,owl:someValuesFrom,知识表示,属性,被定义为,存在,文本
,OWL词汇,知识表示,,包含,owl:cardinality,知识表示
,owl:cardinality,知识表示,属性,被定义为,限制该属性的基数,文本
,描述逻辑,知识表示,,包含,描述逻辑系统,知识表示
,描述逻辑系统,知识表示,,由组成,最基本的元素,知识表示
,描述逻辑系统,知识表示,,由组成,Tbox,知识表示
,描述逻辑系统,知识表示,,由组成,Abox,知识表示
,描述逻辑系统,知识表示,,由组成,推理机制,知识表示
,最基本的元素,知识表示,属性,内容,概念、关系、个体,文本
,Tbox,知识表示,属性,内容,概念术语的公理集合,文本
,Abox,知识表示,属性,内容,个体的断言集合,文本
,描述逻辑,知识表示,,包含,ALC,知识表示
