input,subject,subject_type,data/object,relation,object,object_type
知识图谱是一种用图模型来描述知识和建模世界万物之间的关联关系的技术方法[1]。,知识图谱,知识图谱,,属于,技术方法,知识图谱
知识图谱是一种用图模型来描述知识和建模世界万物之间的关联关系的技术方法[1]。,知识图谱,知识图谱,属性,被定义为,一种用图模型来描述知识和建模世界万物之间的关联关系的技术方法,文本
知识图谱由节点和边组成。,知识图谱,知识图谱,,由组成,节点,知识图谱
知识图谱由节点和边组成。,知识图谱,知识图谱,,由组成,边,知识图谱
节点可以是实体，如一个人、一本书等，或是抽象的概念，如人工智能、知识图谱等。,节点,知识图谱,属性,内容,实体和概念,文本
边可以是实体的属性，如姓名、书名，或是实体之间的关系，如朋友、配偶。,边,知识图谱,属性,内容,实体的属性和实体之间的关系,文本
"知识图谱的早期理念来自Semantic_Web[2,3]（语义网），其最初理想是把基于文本链接的万维网转化成基于实体链接的语义网。",知识图谱,知识图谱,,来源,Semantic_Web,知识图谱
"知识图谱的早期理念来自Semantic_Web[2,2]（语义网），其最初理想是把基于文本链接的万维网转化成基于实体链接的语义网。",语义网,知识图谱,属性,目标,把基于文本链接的万维网转化成基于实体链接的语义网,文本
"知识图谱的早期理念来自Semantic_Web[2,3]（语义网），其最初理想是把基于文本链接的万维网转化成基于实体链接的语义网。",语义网,知识图谱,属性,英文名,Semantic_Web,文本
Semantic_Web仍然基于图和链接的组织方式，只是图中的节点代表的不只是网页，而是客观世界中的实体（如人、机构、地点等），而超链接也被增加了语义描述，具体标明实体之间的关系（如出生地是、创办人是等）。,Semantic_Web,知识图谱,,由组成,图,知识图谱
Semantic_Web仍然基于图和链接的组织方式，只是图中的节点代表的不只是网页，而是客观世界中的实体（如人、机构、地点等），而超链接也被增加了语义描述，具体标明实体之间的关系（如出生地是、创办人是等）。,Semantic_Web,知识图谱,,由组成,链接,知识图谱
相对于传统的网页互联网，Semantic_Web的本质是数据的互联网（Web_of_Data）或事物的互联网（Web_of_Things）。,Semantic_Web,知识图谱,,等价,数据的互联网,知识图谱
相对于传统的网页互联网，Semantic_Web的本质是数据的互联网（Web_of_Data）或事物的互联网（Web_of_Things）。,Semantic_Web,知识图谱,,等价,事物的互联网,知识图谱
相对于传统的网页互联网，Semantic_Web的本质是数据的互联网（Web_of_Data）或事物的互联网（Web_of_Things）。,数据的互联网,知识图谱,属性,英文名,Web_of_Data,文本
相对于传统的网页互联网，Semantic_Web的本质是数据的互联网（Web_of_Data）或事物的互联网（Web_of_Things）。,事物的互联网,知识图谱,属性,英文名,Web_of_Things,文本
如图1-1所示，知识图谱旨在从数据中识别、发现和推断事物与概念之间的复杂关系，是事物关系的可计算模型。,知识图谱,知识图谱,,属于,事物关系的可计算模型,知识图谱
如图1-1所示，知识图谱旨在从数据中识别、发现和推断事物与概念之间的复杂关系，是事物关系的可计算模型。,知识图谱,知识图谱,属性,目标,在从数据中识别、发现和推断事物与概念之间的复杂关系,文本
知识图谱的构建涉及知识建模、关系抽取、图存储、关系推理、实体融合等多方面的技术，而知识图谱的应用则涉及语义搜索、智能问答、语言理解、决策分析等多个领域。,知识图谱构建,知识图谱,,包含,知识建模,知识图谱
知识图谱的构建涉及知识建模、关系抽取、图存储、关系推理、实体融合等多方面的技术，而知识图谱的应用则涉及语义搜索、智能问答、语言理解、决策分析等多个领域。,知识图谱构建,知识图谱,,包含,关系抽取,知识图谱
知识图谱的构建涉及知识建模、关系抽取、图存储、关系推理、实体融合等多方面的技术，而知识图谱的应用则涉及语义搜索、智能问答、语言理解、决策分析等多个领域。,知识图谱构建,知识图谱,,包含,图存储,知识图谱
知识图谱的构建涉及知识建模、关系抽取、图存储、关系推理、实体融合等多方面的技术，而知识图谱的应用则涉及语义搜索、智能问答、语言理解、决策分析等多个领域。,知识图谱构建,知识图谱,,包含,关系推理,知识图谱
知识图谱的构建涉及知识建模、关系抽取、图存储、关系推理、实体融合等多方面的技术，而知识图谱的应用则涉及语义搜索、智能问答、语言理解、决策分析等多个领域。,知识图谱构建,知识图谱,,包含,实体融合,知识图谱
知识图谱的构建涉及知识建模、关系抽取、图存储、关系推理、实体融合等多方面的技术，而知识图谱的应用则涉及语义搜索、智能问答、语言理解、决策分析等多个领域。,知识图谱应用,知识图谱,,包含,语义搜索,知识图谱
知识图谱的构建涉及知识建模、关系抽取、图存储、关系推理、实体融合等多方面的技术，而知识图谱的应用则涉及语义搜索、智能问答、语言理解、决策分析等多个领域。,知识图谱应用,知识图谱,,包含,智能问答,知识图谱
知识图谱的构建涉及知识建模、关系抽取、图存储、关系推理、实体融合等多方面的技术，而知识图谱的应用则涉及语义搜索、智能问答、语言理解、决策分析等多个领域。,知识图谱应用,知识图谱,,包含,语言理解,知识图谱
知识图谱的构建涉及知识建模、关系抽取、图存储、关系推理、实体融合等多方面的技术，而知识图谱的应用则涉及语义搜索、智能问答、语言理解、决策分析等多个领域。,知识图谱应用,知识图谱,,包含,决策分析,知识图谱
构建并利用好知识图谱需要系统性地利用包括知识表示（Knowledge_Representation）、图数据库、自然语言处理、机器学习等多方面的技术。,知识图谱构建技术,知识图谱,,包含,知识表示,知识图谱
构建并利用好知识图谱需要系统性地利用包括知识表示（Knowledge_Representation）、图数据库、自然语言处理、机器学习等多方面的技术。,知识图谱构建技术,知识图谱,,包含,图数据库,知识图谱
构建并利用好知识图谱需要系统性地利用包括知识表示（Knowledge_Representation）、图数据库、自然语言处理、机器学习等多方面的技术。,知识图谱构建技术,知识图谱,,包含,自然语言处理,知识图谱
构建并利用好知识图谱需要系统性地利用包括知识表示（Knowledge_Representation）、图数据库、自然语言处理、机器学习等多方面的技术。,知识图谱构建技术,知识图谱,,包含,机器学习,知识图谱
哲学家柏拉图把知识（Knowledge）定义为“Justified_True_Belief”，即知识需要满足三个核心要素：合理性（Justified）、真实性（True）和被相信（Believed）。,知识,知识图谱,属性,被定义为,Justified_True_Belief,文本
简而言之，知识是人类通过观察、学习和思考有关客观世界的各种现象而获得并总结出的所有事实（Fact）、概念（Concept）、规则（Rule）或原则（Principle）的集合。,知识,知识图谱,属性,被定义为,事实、概念、规则或原则的集合,文本
知识表示是现实世界的可计算模型（Computable_Model_of_Reality）。,知识表示,知识表示,属性,被定义为,现实世界的可计算模型,文本
知识表示是现实世界的可计算模型（Computable_Model_of_Reality）。,世界的可计算模型,知识表示,属性,英文名,Computable_Model_of_Reality,文本
早期的专家系统最常用的知识表示方法包括基于框架的语言（Frame-based_Languages）和产生式规则（Production_Rules）等。,早期的专家系统知识表示方法,知识表示,,包含,基于框架的语言,知识表示
早期的专家系统最常用的知识表示方法包括基于框架的语言（Frame-based_Languages）和产生式规则（Production_Rules）等。,早期的专家系统知识表示方法,知识表示,,包含,产生式规则,知识表示
早期的专家系统最常用的知识表示方法包括基于框架的语言（Frame-based_Languages）和产生式规则（Production_Rules）等。,基于框架的语言,知识表示,属性,英文名,Frame-based_Languages,文本
早期的专家系统最常用的知识表示方法包括基于框架的语言（Frame-based_Languages）和产生式规则（Production_Rules）等。,产生式规则,知识表示,属性,英文名,Production_Rules,文本
框架语言主要用于描述客观世界的类别、个体、属性及关系等，较多地被应用于辅助自然语言理解。,框架语言,知识表示,属性,作用,描述客观世界的类别、个体、属性及关系等,文本
产生式规则主要用于描述类似于IF-THEN的逻辑结构，适合于刻画过程性知识。,产生式规则,知识表示,属性,作用,描述类似于IF-THEN的逻辑结构，适合于刻画过程性知识。,文本
如图1-4所示，传统的知识库，如Douglas_Lenat从1984年开始创建的常识知识库Cyc，仅包含700万条[1]的事实描述（Assertion）。,知识库,知识图谱项目,,包含,Cyc,知识图谱项目
由著名人工智能专家Marvin_Minsky于1999年起开始构建的ConceptNet[24]常识知识库依靠了互联网众规模在百万级别，最新的包、专家创建和游戏三种方法，但早期的ConceptNet5.0也仅包含2800万个RDF三元组关系描述。,知识库,知识图谱项目,,包含,ConceptNet,知识图谱项目
由著名人工智能专家Marvin_Minsky于1999年起开始构建的ConceptNet[24]常识知识库依靠了互联网众规模在百万级别，最新的包、专家创建和游戏三种方法，但早期的ConceptNet5.0也仅包含2800万个RDF三元组关系描述。,ConceptNet,知识图谱项目,属性,创建时间,1999,时间
由著名人工智能专家Marvin_Minsky于1999年起开始构建的ConceptNet[24]常识知识库依靠了互联网众规模在百万级别，最新的包、专家创建和游戏三种方法，但早期的ConceptNet5.0也仅包含2800万个RDF三元组关系描述。,ConceptNet,知识图谱项目,属性,创建者,Marvin_Minsky,人物/实验室
随后，知识图谱在辅助智能问答、自然语言理解、大数据分析、推荐计算、物联网设备互联、可解释性人工智能等多个方面展现出丰富的应用价值。,知识图谱应用,知识图谱,,包含,辅助智能问答,知识图谱
随后，知识图谱在辅助智能问答、自然语言理解、大数据分析、推荐计算、物联网设备互联、可解释性人工智能等多个方面展现出丰富的应用价值。,知识图谱应用,知识图谱,,包含,自然语言理解,知识图谱
随后，知识图谱在辅助智能问答、自然语言理解、大数据分析、推荐计算、物联网设备互联、可解释性人工智能等多个方面展现出丰富的应用价值。,知识图谱应用,知识图谱,,包含,大数据分析,知识图谱
随后，知识图谱在辅助智能问答、自然语言理解、大数据分析、推荐计算、物联网设备互联、可解释性人工智能等多个方面展现出丰富的应用价值。,知识图谱应用,知识图谱,,包含,推荐计算,知识图谱
随后，知识图谱在辅助智能问答、自然语言理解、大数据分析、推荐计算、物联网设备互联、可解释性人工智能等多个方面展现出丰富的应用价值。,知识图谱应用,知识图谱,,包含,物联网设备互联,知识图谱
随后，知识图谱在辅助智能问答、自然语言理解、大数据分析、推荐计算、物联网设备互联、可解释性人工智能等多个方面展现出丰富的应用价值。,知识图谱应用,知识图谱,,包含,可解释性人工智能,知识图谱
除了辅助搜索，知识图谱也被广泛用于人机问答交互中。,知识图谱应用,知识图谱,,包含,人机问答交互,知识图谱
在产业界，IBM_Watson背后依托DBpedia和Yago等百科知识库和WordNet等语言学知识库实现深度知识问答。,IBM_Watson,知识图谱项目,,属于,知识问答项目,知识问答
Amazon_Alex主要依靠True_Knowledge公司积累的知识图谱。,Amazon_Alex,知识图谱项目,,属于,知识问答项目,知识问答
度秘、Siri的进化版Viv、小爱机器人、天猫精灵背后都有海量知识图谱作为支撑。,度秘,知识图谱项目,,属于,知识问答项目,知识问答
典型的基于知识图谱的问答技术或方法包括：基于语义解析、基于图匹配、基于模板学习、基于表示学习和深度学习以及基于混合模型等。,基于知识图谱的问答技术或方法,知识图谱,,包含,基于语义解析,知识图谱
典型的基于知识图谱的问答技术或方法包括：基于语义解析、基于图匹配、基于模板学习、基于表示学习和深度学习以及基于混合模型等。,基于知识图谱的问答技术或方法,知识图谱,,包含,基于图匹配,知识图谱
典型的基于知识图谱的问答技术或方法包括：基于语义解析、基于图匹配、基于模板学习、基于表示学习和深度学习以及基于混合模型等。,基于知识图谱的问答技术或方法,知识图谱,,包含,基于模板学习,知识图谱
典型的基于知识图谱的问答技术或方法包括：基于语义解析、基于图匹配、基于模板学习、基于表示学习和深度学习以及基于混合模型等。,基于知识图谱的问答技术或方法,知识图谱,,包含,基于表示学习,知识图谱
典型的基于知识图谱的问答技术或方法包括：基于语义解析、基于图匹配、基于模板学习、基于表示学习和深度学习以及基于混合模型等。,基于知识图谱的问答技术或方法,知识图谱,,包含,基于混合模型,知识图谱
3.辅助大数据分析知识图谱和语义技术也被用于辅助进行数据分析与决策。,知识图谱应用,知识图谱,,包含,辅助大数据分析,知识图谱
