input,subject,subject_type,relation,object,object_type
第2章知识图谱表示与建模漆桂林东南大学，潘志霖阿伯丁大学，陈华钧浙江大学知识图谱表示（Knowledge_Graph_Representation）指的是用什么语言对知识图谱进行建模，从而可以方便知识计算。,知识图谱表示,,,对知识图谱进行建模,
第2章知识图谱表示与建模漆桂林东南大学，潘志霖阿伯丁大学，陈华钧浙江大学知识图谱表示（Knowledge_Graph_Representation）指的是用什么语言对知识图谱进行建模，从而可以方便知识计算。,知识图谱表示,,,Knowledge_Graph_Representation,
从图的角度来看，知识图谱是一个语义网络，即一种用互联的节点和弧表示知识的一个结构[1]。,知识图谱,,,语义网络,
从图的角度来看，知识图谱是一个语义网络，即一种用互联的节点和弧表示知识的一个结构[1]。,知识图谱,,,语义网络,
语义网络中的节点可以代表一个概念（concept）、一个属性（attribute）、一个事件（event）或者一个实体（entity）；而弧表示节点之间的关系，弧的标签指明了关系的类型。,节点,,,概念,
语义网络中的节点可以代表一个概念（concept）、一个属性（attribute）、一个事件（event）或者一个实体（entity）；而弧表示节点之间的关系，弧的标签指明了关系的类型。,节点,,,属性,
语义网络中的节点可以代表一个概念（concept）、一个属性（attribute）、一个事件（event）或者一个实体（entity）；而弧表示节点之间的关系，弧的标签指明了关系的类型。,节点,,,事件,
语义网络中的节点可以代表一个概念（concept）、一个属性（attribute）、一个事件（event）或者一个实体（entity）；而弧表示节点之间的关系，弧的标签指明了关系的类型。,节点,,,实体,
语义网络中的语义主要体现在图中边的含义。,语义网络中的语义,,,边的含义,
为了给这些边赋予语义，研究人员提出了术语语言（Terminological_Language），并最终提出了描述逻辑（Description_Logic），描述逻辑是一阶谓词逻辑的一个子集，推理复杂度是可判定的。,描述逻辑,,,一阶谓词逻辑,
为了给这些边赋予语义，研究人员提出了术语语言（Terminological_Language），并最终提出了描述逻辑（Description_Logic），描述逻辑是一阶谓词逻辑的一个子集，推理复杂度是可判定的。,描述逻辑,,,Description_Logic,
W3C采用了以描述逻辑为逻辑基础的本体语言OWL作为定义Web术语的标准语言。,OWL,,,定义Web术语的标准语言,
W3C采用了以描述逻辑为逻辑基础的本体语言OWL作为定义Web术语的标准语言。,OWL,,,描述逻辑为逻辑基础的本体语言,
W3C还推出了另外一种用于表示Web本体的语言RDF_Schema（简称RDFS）。,RDFS,,,W3C推出的另一种用于表示Web本体的语言,
目前基于向量的知识表示开始流行，这类表示将知识图谱三元组中的主谓宾表示成数值向量，通过向量的知识表示，可以采用统计或者神经网络的方法进行推理，对知识图谱中的实体直接的关系进行预测。,基于向量的知识表示的推理,,,知识图谱三元组中的主谓宾表示成数值向量,
目前基于向量的知识表示开始流行，这类表示将知识图谱三元组中的主谓宾表示成数值向量，通过向量的知识表示，可以采用统计或者神经网络的方法进行推理，对知识图谱中的实体直接的关系进行预测。,向量的知识表示的推理,,,基于向量的知识表示,
本章将对知识表示的常见方法进行介绍，并且讨论如何用这些知识表示方法对知识进行建模。,本章内容,,,知识表示的常见方法,
2.1什么是知识表示20世纪90年代，MIT_AI实验室的R.Davis定义了知识表示的五大用途或特点：●客观事物的机器标示（A_KR_is_a_Surrogate），即知识表示首先需要定义客观实体的机器指代或指称。,知识表示的五大用途或特点,,,定义客观实体的机器指代或指称,
2.1什么是知识表示20世纪90年代，MIT_AI实验室的R.Davis定义了知识表示的五大用途或特点：●客观事物的机器标示（A_KR_is_a_Surrogate），即知识表示首先需要定义客观实体的机器指代或指称。,知识表示的五大用途或特点,,,客观事物的机器标示,
●一组本体约定和概念模型（A_KR_is_a_Set_of_Ontological_Commitments），即知识表示还需要定义用于描述客观事物的概念和类别体系。,一组本体约定和概念模型,,,知识表示,
●一组本体约定和概念模型（A_KR_is_a_Set_of_Ontological_Commitments），即知识表示还需要定义用于描述客观事物的概念和类别体系。,一组本体约定和概念模型,,,A_KR_is_a_Set_of_Ontological_Commitments,
●支持推理的表示基础（A_KR_is_a_Theory_of_Intelligent_Reasoning），即知识表示还需要提供机器推理的模型与方法。,支持推理的表示基础,,,知识表示,
●用于高效计算的数据结构（A_KR_is_a_medium_for_Efficient_Computation），即知识表示也是一种用于高效计算的数据结构。,知识表示的五大用途或特点,,,用于高效计算的数据结构,
●人可理解的机器语言（A_KR_is_a_Medium_of_Human_Expression），即知识表示还必须接近于人的认知，是人可理解的机器语言。,知识表示的五大用途或特点,,,人可理解的机器语言（A_KR_is_a_Medium_of_Human_Expression）,
●人可理解的机器语言（A_KR_is_a_Medium_of_Human_Expression），即知识表示还必须接近于人的认知，是人可理解的机器语言。,知识表示的五大用途或特点,,,人可理解的机器语言,
有关知识表示的研究可以追溯到人工智能的早期研究。,有关知识表示的研究,,,人工智能的早期研究,
例如，认知科学家M.RossQuillian和Allan_M.Collins提出了语义网络的知识表示方法[2-3]，以网络的方式描述概念之间的语义关系。,语义网络的知识表示方法,,,概念之间的语义关系,
例如，认知科学家M.RossQuillian和Allan_M.Collins提出了语义网络的知识表示方法[2-3]，以网络的方式描述概念之间的语义关系。,语义网络的知识表示方法,,,语义网络,
典型的语义网络如WordNet属于词典类的知识库，主要定义名词、动词、形容词和副词之间的语义关系。,WordNet,,,词典类的知识库,
典型的语义网络如WordNet属于词典类的知识库，主要定义名词、动词、形容词和副词之间的语义关系。,语义网络,,,WordNet,
20世纪70年代，随着专家系统的提出和商业化发展，知识库构建和知识表示更加得到重视。,知识库构建,,,知识表示,
传统的专家系统通常包含知识库和推理引擎（InferenceEngine）两个核心模块。,传统的专家系统,,,知识库和推理引擎（InferenceEngine）两个核心模块,
传统的专家系统通常包含知识库和推理引擎（InferenceEngine）两个核心模块。,知识库,,,KnowledgeBase,
传统的专家系统通常包含知识库和推理引擎（InferenceEngine）两个核心模块。,推理引擎,,,InferenceEngine,
无论是语义网络，还是框架语言和产生式规则，都缺少严格的语义理论模型和形式化的语义定义。,语义网络,,,语义理论模型,
无论是语义网络，还是框架语言和产生式规则，都缺少严格的语义理论模型和形式化的语义定义。,框架语言,,,形式化的语义定义,
无论是语义网络，还是框架语言和产生式规则，都缺少严格的语义理论模型和形式化的语义定义。,产生式规则,,,缺少严格的语义理论模型和形式化的语义定义,
为了解决这一问题，人们开始研究具有较好的理论模型基础和算法复杂度的知识表示框架。,知识表示的五大用途或特点,,,较好的理论模型基础和算法复杂度的知识表示框架,
比较有代表性的是描述逻辑语言（Description_Logic）[4]。,描述逻辑语言,,,描述逻辑,
比较有代表性的是描述逻辑语言（Description_Logic）[4]。,描述逻辑语言,,,Description_Logic,
描述逻辑是目前大多数本体语言（如OWL）的理论基础。,本体语言,,,描述逻辑,
第一个描述逻辑语言是1985年由RonaldJ.Brachman等提出的KL-ONE[5]。,KL-ONE,,,第一个描述逻辑语言,
第一个描述逻辑语言是1985年由RonaldJ.Brachman等提出的KL-ONE[5]。,KL-ONE,,,第一个描述逻辑语言,
描述逻辑主要用于刻画概念（Concepts）、属性（Roles）、个体（Individual）、关系（Relationships）、元语（Axioms，即逻辑描述Logic_Statement）等知识表达要素。,描述逻辑,,,刻画概念（Concepts）、属性（Roles）、个体（Individual）、关系（Relationships）、元语（Axioms，即逻辑描述Logic_Statement）等知识表达要素,
