input,subject,subject_type,relation,object,object_type
第8章知识问答丁力海知智能，杨成彪南京柯基数据科技有限公司知识问答通过自然语言对话的形式帮助人们从知识库中获取知识，它不但是知识图谱的核心应用之一，也是自然语言处理的重要研究方向。,知识问答,,,知识图谱的核心应用之一，也是自然语言处理的重要研究方向。,
随着新技术的不断涌现，知识问答技术取得了长足的进步，在工业界也有广泛的应用。,知识问答技术,,,工业界广泛的应用,
本章介绍知识问答系统的基本概念、发展历史、评价体系以及最新进展。,知识问答系统,,,基本概念、发展历史、评价体系以及最新进展,
8.1知识问答概述知识问答系统是一个拟人化的智能系统，它接收使用自然语言表达的问题，理解用户的意图，获取相关的知识，最终通过推理计算形成自然语言表达的答案并反馈给用户。,知识问答系统,,,智能系统,
例如，用户想了解“特朗普是哪里人”时，可以在网上搜索关键词“特朗普”，找到相关的百科网页，进而通过阅读文章定位出“纽约”是他的出生地。,搜索关键词特朗普,,,找到相关的百科网页,
如果换一种思路，用户拿这个问题问身边的人，也许直接就会听到“纽约”这个答案。,问答问答系统,,,用户问身边的人听到纽约这个答案,
"8.1.1知识问答的基本要素知识问答或问答（Question_Answering,QA）是对话的一种形态。",知识问答,,,"问答（Question_Answering,QA）",
它强调以自然语言问答为交互形式从智能体获取知识，不但要求智能体能够理解问题的语义，还要求基于自身掌握的知识和推理计算能力形成答案。,知识问答智能体,,,以自然语言问答为交互形式从智能体获取知识,
问答是一种典型的智能行为，例如著名的图灵测试就是考验能否通过自然语言对话的方式判定答题者是人还是机器。,问答,,,智能行为,
在采用对话方式与用户沟通时，众多问答系统都需要使用一定的知识来解答问题，所以说问答系统实质上就是知识问答，本文后续也不再区分问答系统和知识问答系统。,问答系统,,,知识问答,
也有工作将知识库编码到计算模型中，例如逻辑规则、机器学习模型和深度学习模型。,知识库,,,将知识库编码到计算模型,
"图8-1问答系统的四大要素8.1.2知识问答的相关工作信息检索（Information_Retrieval,IR）或搜索以关键词搜索为代表，帮助用户发现包含搜索关键词的网页或文档。",信息检索,,,"Information_Retrieval,IR",
"图8-1问答系统的四大要素8.1.2知识问答的相关工作信息检索（Information_Retrieval,IR）或搜索以关键词搜索为代表，帮助用户发现包含搜索关键词的网页或文档。",搜索,,,关键词搜索,
近来的信息检索技术也在逐步利用语义信息，例如支持查询扩展[1]、语义相似度匹配[2]以及基于知识图谱的实体识别[3]。,信息检索技术,,,逐步利用语义信息,
但是搜索与知识问答有明显差异。,搜索,,,知识问答,
第一，搜索以文档来承载答案，用户需要阅读搜索找到的文档来发现相关答案，而问答直接将答案交付给用户，而且答案通常来自已经结构化的数据或抽取后结构化的数据，而且结构化数据可以用列表的形式返回，也支持进一步的数据统计分析。,搜索,,,问答,
第一，搜索以文档来承载答案，用户需要阅读搜索找到的文档来发现相关答案，而问答直接将答案交付给用户，而且答案通常来自已经结构化的数据或抽取后结构化的数据，而且结构化数据可以用列表的形式返回，也支持进一步的数据统计分析。,搜索,,,search,
第一，搜索以文档来承载答案，用户需要阅读搜索找到的文档来发现相关答案，而问答直接将答案交付给用户，而且答案通常来自已经结构化的数据或抽取后结构化的数据，而且结构化数据可以用列表的形式返回，也支持进一步的数据统计分析。,问答,,,answer the question directly,
第二，搜索侧重更简单的用户体验，用户的知识检索诉求主要通过关键词而不是完整的句子，这样需要用户掌握一定的搜索技巧。,搜索,,,简单的用户体验,
例如同一个问题，大学教授和中学生会采用不同的搜索技巧和搜索关键词组合，而他们得到的搜索结果也会不一样。,搜索技巧和搜索关键词组合,,,大学教授和中学生会采用不同的搜索技巧和搜索关键词组合,
例如同一个问题，大学教授和中学生会采用不同的搜索技巧和搜索关键词组合，而他们得到的搜索结果也会不一样。,搜索技巧,,,search skills,
例如同一个问题，大学教授和中学生会采用不同的搜索技巧和搜索关键词组合，而他们得到的搜索结果也会不一样。,搜索关键词组合,,,search key words combination,
例如同一个问题，大学教授和中学生会采用不同的搜索技巧和搜索关键词组合，而他们得到的搜索结果也会不一样。,大学教授,,,大学教授,
例如同一个问题，大学教授和中学生会采用不同的搜索技巧和搜索关键词组合，而他们得到的搜索结果也会不一样。,中学生会,,,中学生会,
问答则会尝试理解不同自然语言表达方式中固有的语义，然后形成知识查询。,问答,,,知识查询,
第三，当用户的问题比较复杂，需要通过多个页面的知识来回答时，搜索是无法完成的。,搜索,,,知识问答系统,
例如，需要寻找“在华盛顿的数据挖掘公司”，而公司的地址信息（？公司位于华盛顿）和公司的专业信息（？公司业务数据挖掘）恰好在两个不同网页上，搜索引擎是无能为力的。,搜索引擎的缺点或不足,,,无法查找两个不同网页上不同的信息,
数据库查询（Database_Query）同样可以帮助用户获取知识，但是知识问答和数据库查询仍然存在一定差异。,数据库查询,,,知识问答,
第一，数据库查询通常需要用户熟悉结构化数据的组织（Schema），知道如何指代数据中的概念（包括实体名、属性名等），掌握数据库查询语言（包括使用JOIN等复杂操作逻辑），而知识问答降低了对这些知识的要求，人们可以用自然语言来查询数据。,数据库查询,,,知识问答,
值得注意的是，自然语言查询需要处理歧义现象，例如“Listall_employees_in_the_company_with_a_driving_license”（“列举有驾照的公司的雇员”），可以是找“有驾照的公司”也可以是“有驾照的公司雇员”，从常识判断只有后者才是用户的真正意图。,自然语言查询,,,处理歧义现象,
值得注意的是，自然语言查询需要处理歧义现象，例如“Listall_employees_in_the_company_with_a_driving_license”（“列举有驾照的公司的雇员”），可以是找“有驾照的公司”也可以是“有驾照的公司雇员”，从常识判断只有后者才是用户的真正意图。,自然语言查询,,,natural-language-query,
类似的中文歧义的现象也很多，例如“南京市长江大桥”“教育部长江学者”都需要不同的语义理解歧义消解的方案。,中文歧义,,,类似的中文歧义的现象也很多,
第二，数据库对知识库有严格限制，要求数据必须结构化存储。,数据库,,,知识库,
然而，大量知识存在于文本中而非数据库中，知识问答并不限制知识库的类型。,知识问答,,,知识库的类型,
然而，大量知识存在于文本中而非数据库中，知识问答并不限制知识库的类型。,知识问答,,,knowledge question,
第三，数据库查询结果不一定能形成用户可使用的最终答案。,数据库查询结果,,,形成用户可使用的最终答案,
例如，数据库查询可以查到城市的编码，还需要再查询编码表得到城市的名称，而知识问答则需要直接返回城市的名称。,数据库查询,,,查询城市的编码,
例如，数据库查询可以查到城市的编码，还需要再查询编码表得到城市的名称，而知识问答则需要直接返回城市的名称。,知识问答,,,直接返回城市的名称,
例如，数据库查询可以查到城市的编码，还需要再查询编码表得到城市的名称，而知识问答则需要直接返回城市的名称。,数据库查询,,,查到城市的编码,
例如，数据库查询可以查到城市的编码，还需要再查询编码表得到城市的名称，而知识问答则需要直接返回城市的名称。,知识问答,,,直接返回城市的名称,
知识问答、信息检索和数据库查询的对比如表8-1所示。,知识问答,,,信息检索,
知识问答、信息检索和数据库查询的对比如表8-1所示。,知识问答,,,数据库查询,
表8-1知识问答、信息检索和数据库查询的对比续表8.1.3知识问答应用场景2011年，IBM研发的超级计算机“沃森”在美国知识竞赛节目《危险边缘》中上演了“人机问答大战”，并一举战胜了两位顶尖的人类选手，成为人工智能发展史上又一标志性事件，如图8-2所示。,知识问答,,,IBM研发的超级计算机“沃森”在美国知识竞赛节目《危险边缘》中上演了“人机问答大战”，并一举战胜了两位顶尖的人类选手,
表8-1知识问答、信息检索和数据库查询的对比续表8.1.3知识问答应用场景2011年，IBM研发的超级计算机“沃森”在美国知识竞赛节目《危险边缘》中上演了“人机问答大战”，并一举战胜了两位顶尖的人类选手，成为人工智能发展史上又一标志性事件，如图8-2所示。,知识问答,,,knowledge question answering,
案例1.知识问答可以直接嵌入搜索引擎的结果页面，将问答的答案与搜索的结果列表同时展示。,知识问答,,,直接嵌入搜索引擎的结果页面，将问答的答案与搜索的结果列表同时展示,
图8-2“沃森”在《危险边缘》中获得冠军图8-3问答展示界面案例2.知识问答技术可以应用于智能对话系统、智能客服或智能助理（IntelligentAgent）[7]。,知识问答技术,,,智能对话系统、智能客服或智能助理,
除了帮助人们获取知识[8]，智能助理也可以跟人闲聊，帮助人执行任务（例如下订单、订酒店、叫外卖），将用户的问题转化为结构化查询，利用多轮对话补全用户的意图等[9]。,智能助理,,,帮助人们获取知识,
除了帮助人们获取知识[8]，智能助理也可以跟人闲聊，帮助人执行任务（例如下订单、订酒店、叫外卖），将用户的问题转化为结构化查询，利用多轮对话补全用户的意图等[9]。,智能助理,,,智能助理,
图8-4基于不同领域知识图谱的问答系统在对话中有不同的理解案例3.知识问答应用于阅读理解。,问答系统,,,对话中的理解,
各种答题机器人和对话机器人也是知识问答的一个重要应用方向。,答题机器人,,,知识问答,
以阅读理解为代表的应用也可以被看作是知识问答的特例，它主要限制了知识库的边界（虽然阅读理解的主体知识是指定的章，但是实现理解仍然需要语法、常用词汇概念以及常识等辅助），而问题的形式可以是选择题（判断哪个答案正确）、填空题（直接填写答案）抑或是简答题。,知识问答,,,以阅读理解为代表的应用,
以阅读理解为代表的应用也可以被看作是知识问答的特例，它主要限制了知识库的边界（虽然阅读理解的主体知识是指定的章，但是实现理解仍然需要语法、常用词汇概念以及常识等辅助），而问题的形式可以是选择题（判断哪个答案正确）、填空题（直接填写答案）抑或是简答题。,知识问答,,,knowledge question,
图8-5展示了一种阅读理解的应用场景，智能体以一段文章（passage）为知识库，针对问题从文章中寻找一段文字形成答案。,阅读理解,,,应用场景,
图8-5展示了一种阅读理解的应用场景，智能体以一段文章（passage）为知识库，针对问题从文章中寻找一段文字形成答案。,智能体,,,智能问答,
问答系统还有很多更深入的综述[10-14]。,问答系统,,,更深入的综述,
8.2.1问题类型与答案类型在知识问答中，首先可以通过对问题的类型（QuestionType）理解问答目标。,问题类型,,,知识问答,
8.2.1问题类型与答案类型在知识问答中，首先可以通过对问题的类型（QuestionType）理解问答目标。,问题类型,,,QuestionType,
问答系统可以针对问题类型，选择对应的知识库、处理逻辑来生成答案[15]。,问答系统,,,针对问题类型，选择对应的知识库、处理逻辑来生成答案,
问答系统可以针对问题类型，选择对应的知识库、处理逻辑来生成答案[15]。,问答系统,,,"question-answer system, QAS",
问题分类体系在很大程度上按照目标答案的差异而区分，所以这里将问题类型和答案类型合并，统一考虑为问题类型。,问题分类体系,,,目标答案的差异而区分,
问题分类体系在很大程度上按照目标答案的差异而区分，所以这里将问题类型和答案类型合并，统一考虑为问题类型。,问题类型,,,question type,
通过对问题的类型（也就是用户问题所期望的答案的类型）的分析，问答系统可以有针对性地选择有效的知识库和处理逻辑解答一类问题。,问答系统,,,分析问题类型的用途,
早期的工作包括TREC测试集问题分类研究[15]和ISIQA问题类型分类体系[16]，另外还有更详细的综述[17]。,早期的工作,,,TREC测试集问题分类研究,
早期的工作包括TREC测试集问题分类研究[15]和ISIQA问题类型分类体系[16]，另外还有更详细的综述[17]。,早期的工作,,,ISIQA问题类型分类体系,
早期的工作包括TREC测试集问题分类研究[15]和ISIQA问题类型分类体系[16]，另外还有更详细的综述[17]。,早期的工作,,,更详细的综述,
早期的工作包括TREC测试集问题分类研究[15]和ISIQA问题类型分类体系[16]，另外还有更详细的综述[17]。,TREC测试集问题分类研究,,,TREC test set problem classification study,
早期的工作包括TREC测试集问题分类研究[15]和ISIQA问题类型分类体系[16]，另外还有更详细的综述[17]。,ISIQA问题类型分类体系,,,ISIQA problem type classification system,
LI等人[15]通过观察TREC的1000个问题的数据，从答案类型出发建立了一个问题分类体系，包含6个大类和50个细分类，并对各类问题的占比进行了统计。,问题分类体系,,,六个大类和50个细分类,
从统计结果中可以看出，TREC中的大部分问题都集中在这几类数据，占总体问题数量的78%。,TREC,,,问答系统,
其中，81个问题询问地点（LOCATION）、138个问题询问定义或描述（DESCRIPTION）、65个问题询问人物（HUMAN）、94个问题询问事物（例如动物、颜色、食品等）。,SPO,,,subject,
可见，在知识问答中，一个合理的分类体系能够体现出问题的类型分布，从而帮助开发者有针对性地设计问答解决方案，并形成良好的问答系统。,分类体系,,,知识问答,
图8-6ISI_QA问题类型分类体系及实例后续也出现了基于功能的问题分类体系。,ISI_QA问题类型分类体系及实例,,,问题分类体系及实例后续也出现了基于功能的问题分类体系。,
图8-6ISI_QA问题类型分类体系及实例后续也出现了基于功能的问题分类体系。,ISI_QA问题类型分类体系,,,Information_Seeking_Question_Category,
