input,subject,relation,object
随着新技术的不断涌现，知识问答技术取得了长足的进步，在工业界也有广泛的应用。,知识问答,属于,技术
本章介绍知识问答系统的基本概念、发展历史、评价体系以及最新进展。,知识问答系统,属于,基本概念、发展历史、评价体系以及最新进展
8.1知识问答概述知识问答系统是一个拟人化的智能系统，它接收使用自然语言表达的问题，理解用户的意图，获取相关的知识，最终通过推理计算形成自然语言表达的答案并反馈给用户。,知识问答系统,属于,智能系统
如果换一种思路，用户拿这个问题问身边的人，也许直接就会听到“纽约”这个答案。,问答问答系统,属于,用户问身边的人听到纽约这个答案
"8.1.1知识问答的基本要素知识问答或问答（Question_Answering,QA）是对话的一种形态。",知识问答,属于,"问答（Question_Answering,QA）"
也有工作将知识库编码到计算模型中，例如逻辑规则、机器学习模型和深度学习模型。,知识库,属于,将知识库编码到计算模型
但是搜索与知识问答有明显差异。,搜索,属于,知识问答
第二，搜索侧重更简单的用户体验，用户的知识检索诉求主要通过关键词而不是完整的句子，这样需要用户掌握一定的搜索技巧。,搜索,属于,简单的用户体验
例如同一个问题，大学教授和中学生会采用不同的搜索技巧和搜索关键词组合，而他们得到的搜索结果也会不一样。,搜索技巧和搜索关键词组合,属于,大学教授和中学生会采用不同的搜索技巧和搜索关键词组合
问答则会尝试理解不同自然语言表达方式中固有的语义，然后形成知识查询。,问答,属于,知识查询
第三，当用户的问题比较复杂，需要通过多个页面的知识来回答时，搜索是无法完成的。,搜索,属于,知识问答
数据库查询（Database_Query）同样可以帮助用户获取知识，但是知识问答和数据库查询仍然存在一定差异。,数据库查询,属于,知识问答
第二，数据库对知识库有严格限制，要求数据必须结构化存储。,数据库,属于,知识库
第三，数据库查询结果不一定能形成用户可使用的最终答案。,数据库查询结果,属于,形成用户可使用的最终答案
知识问答、信息检索和数据库查询的对比如表8-1所示。,知识问答,属于,信息检索
知识问答、信息检索和数据库查询的对比如表8-1所示。,信息检索,属于,数据库查询
案例1.知识问答可以直接嵌入搜索引擎的结果页面，将问答的答案与搜索的结果列表同时展示。,知识问答,属于,直接嵌入搜索引擎的结果页面，将问答的答案与搜索的结果列表同时展示
各种答题机器人和对话机器人也是知识问答的一个重要应用方向。,答题机器人,属于,知识问答
以阅读理解为代表的应用也可以被看作是知识问答的特例，它主要限制了知识库的边界（虽然阅读理解的主体知识是指定的章，但是实现理解仍然需要语法、常用词汇概念以及常识等辅助），而问题的形式可以是选择题（判断哪个答案正确）、填空题（直接填写答案）抑或是简答题。,知识问答,属于,以阅读理解为代表的应用
图8-5展示了一种阅读理解的应用场景，智能体以一段文章（passage）为知识库，针对问题从文章中寻找一段文字形成答案。,阅读理解,属于,应用场景
问答系统还有很多更深入的综述[10-14]。,问答系统,属于,更深入的综述
8.2.1问题类型与答案类型在知识问答中，首先可以通过对问题的类型（QuestionType）理解问答目标。,问题类型,属于,知识问答
问答系统可以针对问题类型，选择对应的知识库、处理逻辑来生成答案[15]。,问答系统,属于,针对问题类型，选择对应的知识库、处理逻辑来生成答案
通过对问题的类型（也就是用户问题所期望的答案的类型）的分析，问答系统可以有针对性地选择有效的知识库和处理逻辑解答一类问题。,问答系统,属于,有针对性地选择有效的知识库和处理逻辑解答一类问题
图8-6ISI_QA问题类型分类体系及实例后续也出现了基于功能的问题分类体系。,ISI_QA问题类型分类体系及实例,属于,问题分类体系及实例
