input,subject,relation,object
表2-5OWL词汇扩展3.OWL版本目前，OWL2是OWL的最新版本，老的OWL版本也被称为OWL1。,OWL版本,被定义为,OWL2
表2-5OWL词汇扩展3.OWL版本目前，OWL2是OWL的最新版本，老的OWL版本也被称为OWL1。,OWL版本,由组成,OWL2
OWL2定义了一些OWL的子语言，通过限制语法使用，使得这些子语言能够更方便地实现，以及服务不同的应用。,OWL2,被定义为,OWL的子语言
OWL2定义了一些OWL的子语言，通过限制语法使用，使得这些子语言能够更方便地实现，以及服务不同的应用。,OWL2定义,由组成,一些OWL的子语言
OWL2定义了一些OWL的子语言，通过限制语法使用，使得这些子语言能够更方便地实现，以及服务不同的应用。,OWL2定义,由组成,一些OWL的子语言
OWL2的三大子语言是OWL_2_RL、OWL_2_QL和OWL_2_EL。,OWL2的三大子语言,被定义为,OWL_2_RL、OWL_2_QL和OWL_2_EL
OWL2的三大子语言是OWL_2_RL、OWL_2_QL和OWL_2_EL。,OWL2的三大子语言,由组成,OWL_2_RL、OWL_2_QL和OWL_2_EL
OWL_2_QL是OWL2子语言中最为简单的，QL代表Query_Language，所以OWL_2_QL是专为基于本体的查询设计的。,OWL_2_QL,被定义为,专为基于本体的查询设计的
它的查询复杂度是AC0，非常适合大规模处理。,SPO,被定义为,大规模处理
它的查询复杂度是AC0，非常适合大规模处理。,SPO,由组成,ACO
它是基于描述逻辑DL-Lite定义的。,DL-Lite,被定义为,基于描述逻辑DL-Lite定义的
它是基于描述逻辑DL-Lite定义的。,基于描述逻辑的本体,由组成,DL-Lite
表2-6给出了OWL_2_QL词汇总结。,OWL_2_QL词汇,被定义为,OWL_2_QL词汇表
表2-6给出了OWL_2_QL词汇总结。,OWL_2_QL词汇总结,由组成,表2-6给出了OWL_2_QL词汇总结。
表2-6给出了OWL_2_QL词汇总结。,OWL_2_QL词汇总结,由组成,表2-6给出了OWL_2_QL词汇总结。
表2-6OWL_2_QL词汇总结另外一个能够提供多项式推理的OWL是OWL_2_EL。,OWL_2_QL,被定义为,OWL_2_QL是OWL_2的一个子集，它只包含OWL_2中的一些基本概念
表2-6OWL_2_QL词汇总结另外一个能够提供多项式推理的OWL是OWL_2_EL。,OWL_2_QL,由组成,OWL_2_QL词汇总结
表2-6OWL_2_QL词汇总结另外一个能够提供多项式推理的OWL是OWL_2_EL。,OWL_2_QL,由组成,OWL_2_QL词汇总结
与OWL_2_QL不同，OWL_2_EL专为概念术语描述、本体的分类推理而设计，广泛应用在生物医疗领域，如临床医疗术语本体SNOMED_CT。,OWL_2_EL,被定义为,概念术语描述、本体的分类推理
与OWL_2_QL不同，OWL_2_EL专为概念术语描述、本体的分类推理而设计，广泛应用在生物医疗领域，如临床医疗术语本体SNOMED_CT。,OWL_2_EL,由组成,OWL_2_QL
