input,subject,subject_type,data/object,relation,object,object_type
OWL2的三大子语言是OWL_2_RL、OWL_2_QL和OWL_2_EL。,OWL2子语言,知识表示,,包含,OWL_2_RL,知识表示
OWL2的三大子语言是OWL_2_RL、OWL_2_QL和OWL_2_EL。,OWL2子语言,知识表示,,包含,OWL_2_QL,知识表示
OWL2的三大子语言是OWL_2_RL、OWL_2_QL和OWL_2_EL。,OWL2子语言,知识表示,,包含,OWL_2_EL,知识表示
OWL_2_QL是OWL2子语言中最为简单的，QL代表Query_Language，所以OWL_2_QL是专为基于本体的查询设计的。,OWL_2_QL,知识表示,属性,特点,专为基于本体的查询设计的,文本
与OWL_2_QL不同，OWL_2_EL专为概念术语描述、本体的分类推理而设计，广泛应用在生物医疗领域，如临床医疗术语本体SNOMED_CT。,OWL_2_EL,知识表示,属性,特点,专为概念术语描述、本体的分类推理而设计,文本
OWL_2_RL扩展了RDFS的表达能力，在RDFS的基础上引入属性的特殊特性（函数性、互反性和对称性），允许声明等价性，允许属性的局部约束。,OWL_2_RL,知识表示,属性,特点,扩展了RDFS的表达能力，在RDFS的基础上引入属性的特殊特性，允许声明等价性，允许属性的局部约束,文本
OWL_2_RL允许的核心词汇有：●rdfs:subClassOf；●rdfs:subPropertyOf；●rdfs:domain；●rdfs:range；●owl:TransitiveProperty；●owl:FunctionalProperty；●owl:sameAs；●owl:equivalentClass；●owl:equivalentProperty；●owl:someValuesFrom；●owl:allValuesFrom。,OWL_2_RL,知识表示,,包含,OWL_2_RL允许的核心词汇,知识表示
OWL_2_RL允许的核心词汇有：●rdfs:subClassOf；●rdfs:subPropertyOf；●rdfs:domain；●rdfs:range；●owl:TransitiveProperty；●owl:FunctionalProperty；●owl:sameAs；●owl:equivalentClass；●owl:equivalentProperty；●owl:someValuesFrom；●owl:allValuesFrom。,OWL_2_RL核心词汇,知识表示,属性,内容,●rdfs:subClassOf；●rdfs:subPropertyOf；●rdfs:domain；●rdfs:range；●owl:TransitiveProperty；●owl:FunctionalProperty；●owl:sameAs；●owl:equivalentClass；●owl:equivalentProperty；●owl:someValuesFrom；●owl:allValuesFrom。,文本
2.3.3知识图谱查询语言的表示RDF支持类似数据库的查询语言，叫作SPARQL[1]，它提供了查询RDF数据的标准语法、处理SPARQL查询的规则以及结果返回形式。,知识图谱查询语言的表示,知识表示,,包含,SPARQL,知识表示
2.3.3知识图谱查询语言的表示RDF支持类似数据库的查询语言，叫作SPARQL[1]，它提供了查询RDF数据的标准语法、处理SPARQL查询的规则以及结果返回形式。,SPARQL,知识表示,属性,作用,提供了查询RDF数据的标准语法、处理SPARQL查询的规则以及结果返回形式,文本
,SPARQL,知识表示,,包含,SPARQL知识图谱查询基本构成,知识表示
1.SPARQL知识图谱查询基本构成●变量，RDF中的资源，以“?”或者“$”指示；●三元组模板，在WHERE子句中列出关联的三元组模板，之所以称为模板，因为三元组中允许存在变量；●SELECT子句中指示要查询的目标变量。,SPARQL知识图谱查询基本构成,知识表示,,包含,变量,知识表示
1.SPARQL知识图谱查询基本构成●变量，RDF中的资源，以“?”或者“$”指示；●三元组模板，在WHERE子句中列出关联的三元组模板，之所以称为模板，因为三元组中允许存在变量；●SELECT子句中指示要查询的目标变量。,SPARQL知识图谱查询基本构成,知识表示,,来源,三元组模板,知识表示
1.SPARQL知识图谱查询基本构成●变量，RDF中的资源，以“?”或者“$”指示；●三元组模板，在WHERE子句中列出关联的三元组模板，之所以称为模板，因为三元组中允许存在变量；●SELECT子句中指示要查询的目标变量。,SPARQL知识图谱查询基本构成,知识表示,,属于,SELECT子句中指示要查询的目标变量,知识表示
2.常见的SPARQL查询算子（1）OPTIONAL。,SPARQL查询算子,知识表示,,包含,OPTIONAL,知识表示
可选算子，指的是在这个算子覆盖范围的查询语句是可选的。,OPTIONAL,知识表示,属性,作用,可选算子，指的是在这个算子覆盖范围的查询语句是可选的。,文本
（2）FILTER。,SPARQL查询算子,知识表示,,包含,FILTER,知识表示
过滤算子，指的是这个算子覆盖范围的查询语句可以用来过滤查询结果。,FILTER,知识表示,属性,作用,过滤算子，指的是这个算子覆盖范围的查询语句可以用来过滤查询结果。,文本
（3）UNION。,SPARQL查询算子,知识表示,,包含,UNION,知识表示
并算子，指的是将两个查询的结果合并起来。,UNION,知识表示,属性,作用,将两个查询的结果合并起来,文本
被谷歌知识图谱以及Schema.Org采用的语义Markup语言主要包括JSON-LD、RDFa和HTML5MicroData。,语义Markup语言,知识表示,,包含,JSON-LD,知识表示
被谷歌知识图谱以及Schema.Org采用的语义Markup语言主要包括JSON-LD、RDFa和HTML5MicroData。,语义Markup语言,知识表示,,包含,RDFa,知识表示
被谷歌知识图谱以及Schema.Org采用的语义Markup语言主要包括JSON-LD、RDFa和HTML5MicroData。,语义Markup语言,知识表示,,包含,HTML5_MicroData,知识表示
1.JSON-LDJSON-LD（JavaScript_Object_Notation_for_Linked_Data）是一种基于JSON表示和传输链接数据的方法。,JSON-LD,知识表示,属性,被定义为,一种基于JSON表示和传输链接数据的方法。,文本
JSON-LD描述了如何通过JSON表示有向图，以及如何在一个文档中混合表示链接数据及非链接数据。,JSON-LD,知识表示,属性,作用,描述了如何通过JSON表示有向图，以及如何在一个文档中混合表示链接数据及非链接数据,文本
如下所示：可以看出，JSON-LD呈现出语义网技术的风格，它们有着类似的目标：围绕某类知识提供共享的术语。,JSON-LD,知识表示,属性,目标,围绕某类知识提供共享的术语,文本
2.RDFaRDFa（Resource_Description_Framework_in_attributes）是一种早期网页语义标记语言。,RDFa,知识表示,,属于,早期网页语义标记语言,知识表示
它扩充了XHTML的几个属性，网页制作者可以利用这些属性在网页中添加可供机器读取的资源。,RDFa,知识表示,属性,特点,扩充了XHTML的几个属性，网页制作者可以利用这些属性在网页中添加可供机器读取的资源,文本
与RDF的对应关系使得RDFa可以将RDF的三元组嵌入在XHTML文档中，它也使得符合标准的使用端可以从RDFa文件中提取出这些RDF三元组。,RDFa,知识表示,属性,作用,将RDF的三元组嵌入在XHTML文档中；从RDFa文件中提取出RDF三元组,文本
3.HTML5_MicrodataMicrodata（微数据）是在网页标记语言中嵌入机器可读的属性数据。,HTML5_Microdata,知识表示,属性,被定义为,在网页标记语言中嵌入机器可读的属性数据,文本
这里以三个最典型的开放域知识图谱（Freebase、Wikidata、ConceptNet）为例，尝试比较不同的知识图谱项目选用的知识表示框架，并总结影响知识表示框架选择的主要因素。,开放域知识图谱,知识表示,,包含,Freebase,知识表示
这里以三个最典型的开放域知识图谱（Freebase、Wikidata、ConceptNet）为例，尝试比较不同的知识图谱项目选用的知识表示框架，并总结影响知识表示框架选择的主要因素。,开放域知识图谱,知识表示,,包含,Wikidata,知识表示
这里以三个最典型的开放域知识图谱（Freebase、Wikidata、ConceptNet）为例，尝试比较不同的知识图谱项目选用的知识表示框架，并总结影响知识表示框架选择的主要因素。,开放域知识图谱,知识表示,,包含,ConceptNet5,知识表示
2.4.1FreebaseFreebase的知识表示框架主要包含如下几个要素：对象-Object、事实-Facts、类型-ID，称为MIDTypes和属性-Properties。,Freebase,知识表示,,包含,对象-Object,知识表示
2.4.1FreebaseFreebase的知识表示框架主要包含如下几个要素：对象-Object、事实-Facts、类型-ID，称为MIDTypes和属性-Properties。,Freebase,知识表示,,包含,事实-Facts,知识表示
2.4.1FreebaseFreebase的知识表示框架主要包含如下几个要素：对象-Object、事实-Facts、类型-ID，称为MIDTypes和属性-Properties。,Freebase,知识表示,,包含,类型-Types,知识表示
2.4.1FreebaseFreebase的知识表示框架主要包含如下几个要素：对象-Object、事实-Facts、类型-ID，称为MIDTypes和属性-Properties。,Freebase,知识表示,,包含,属性-Properties,知识表示
一个“Object”可以有一个或多个“Types”。,对象-Object,知识表示,属性,特点,可以有一个或多个Type,文本
“Properties”用来描述“Facts”。,属性-Properties,知识表示,属性,特点,描述Facts,文本
